Token			Value
--------------------------------
PROGRAM			program
VAR			var
IDENT			SMALLER
AS			as
INT			int
SC			;
VAR			var
IDENT			BIGGER
AS			as
INT			int
SC			;
VAR			var
IDENT			TEMP
AS			as
INT			int
SC			;
BEGIN			begin
IDENT			BIGGER
ASGN			:=
READINT			readInt
SC			;
IDENT			SMALLER
ASGN			:=
READINT			readInt
SC			;
IF			if
IDENT			SMALLER
OP4			>
IDENT			BIGGER
THEN			then
IDENT			TEMP
ASGN			:=
IDENT			SMALLER
SC			;
IDENT			TEMP1
ASGN			:=
NUM			2147483648
SC			;
IDENT			SMALLER
ASGN			:=
IDENT			BIGGER
SC			;
IDENT			BIGGER
ASGN			:=
IDENT			TEMP
SC			;
END			end
SC			;
WHILE			while
IDENT			SMALLER
OP4			>
NUM			0
DO			do
IDENT			BIGGER
ASGN			:=
IDENT			BIGGER
OP3			-
IDENT			SMALLER
SC			;
IF			if
IDENT			SMALLER
OP4			>
IDENT			BIGGER
THEN			then
IDENT			TEMP
ASGN			:=
IDENT			SMALLER
SC			;
IDENT			SMALLER
ASGN			:=
IDENT			BIGGER
SC			;
IDENT			BIGGER
ASGN			:=
IDENT			TEMP
SC			;
END			end
SC			;
END			end
SC			;
WRITEINT			writeInt
IDENT			BIGGER
SC			;
END			end
--------------------------------
